股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
新大洲A,000571,2023-01-03,2.32,2.34,2.36,2.32,99996,23382938.06,1.71,0.0,0.0,1.23
新大洲A,000571,2023-01-04,2.34,2.34,2.37,2.33,54175,12733238.0,1.71,0.0,0.0,0.67
新大洲A,000571,2023-01-05,2.35,2.33,2.36,2.32,94486,22030083.52,1.71,-0.43,-0.01,1.16
新大洲A,000571,2023-01-06,2.33,2.36,2.38,2.32,98175,23032510.95,2.58,1.29,0.03,1.21
新大洲A,000571,2023-01-09,2.35,2.41,2.43,2.35,107158,25626444.21,3.39,2.12,0.05,1.32
新大洲A,000571,2023-01-10,2.42,2.39,2.43,2.38,59498,14257013.28,2.07,-0.83,-0.02,0.73
新大洲A,000571,2023-01-11,2.39,2.39,2.4,2.37,64726,15450306.0,1.26,0.0,0.0,0.8
新大洲A,000571,2023-01-12,2.39,2.36,2.39,2.34,64314,15171353.52,2.09,-1.26,-0.03,0.79
新大洲A,000571,2023-01-13,2.36,2.37,2.38,2.35,47534,11236435.95,1.27,0.42,0.01,0.58
新大洲A,000571,2023-01-16,2.36,2.38,2.38,2.35,45699,10820884.0,1.27,0.42,0.01,0.56
新大洲A,000571,2023-01-17,2.37,2.37,2.38,2.35,49523,11693312.21,1.26,-0.42,-0.01,0.61
新大洲A,000571,2023-01-18,2.36,2.37,2.4,2.36,39788,9462727.79,1.69,0.0,0.0,0.49
新大洲A,000571,2023-01-19,2.35,2.4,2.41,2.35,65826,15654725.0,2.53,1.27,0.03,0.81
新大洲A,000571,2023-01-20,2.4,2.44,2.44,2.39,92235,22304118.74,2.08,1.67,0.04,1.13
新大洲A,000571,2023-01-30,2.45,2.49,2.52,2.45,132966,32984959.88,2.87,2.05,0.05,1.63
新大洲A,000571,2023-01-31,2.44,2.45,2.5,2.42,151749,37380560.45,3.21,-1.61,-0.04,1.86
新大洲A,000571,2023-02-01,2.44,2.47,2.47,2.41,220938,53692143.34,2.45,0.82,0.02,2.71
新大洲A,000571,2023-02-02,2.45,2.4,2.46,2.4,183093,44215605.0,2.43,-2.83,-0.07,2.25
新大洲A,000571,2023-02-03,2.39,2.41,2.42,2.38,97059,23287726.39,1.67,0.42,0.01,1.19
新大洲A,000571,2023-02-06,2.4,2.4,2.41,2.39,70614,16945053.38,0.83,-0.41,-0.01,0.87
新大洲A,000571,2023-02-07,2.41,2.39,2.41,2.38,84298,20196795.1,1.25,-0.42,-0.01,1.04
新大洲A,000571,2023-02-08,2.4,2.36,2.4,2.35,115087,27308005.55,2.09,-1.26,-0.03,1.41
新大洲A,000571,2023-02-09,2.35,2.36,2.37,2.34,78387,18506030.6,1.27,0.0,0.0,0.96
新大洲A,000571,2023-02-10,2.34,2.35,2.36,2.34,96192,22588251.49,0.85,-0.42,-0.01,1.18
新大洲A,000571,2023-02-13,2.35,2.34,2.36,2.32,119122,27865895.54,1.7,-0.43,-0.01,1.46
新大洲A,000571,2023-02-14,2.35,2.36,2.36,2.34,80842,18980440.51,0.85,0.85,0.02,0.99
新大洲A,000571,2023-02-15,2.35,2.35,2.36,2.34,56642,13307169.0,0.85,-0.42,-0.01,0.7
新大洲A,000571,2023-02-16,2.35,2.31,2.37,2.29,137294,32136060.9,3.4,-1.7,-0.04,1.69
新大洲A,000571,2023-02-17,2.29,2.3,2.32,2.29,81072,18671267.2,1.3,-0.43,-0.01,1.0
